energy_rank,energy,depth,term_constraint,term_sasa,term_hbond,term_electrostatics,term_disulfide,term_vdw_repulsion,term_rotamer,term_pi_stacking,term_rama,term_geometry,term_geom_pro_ring,term_geom_chirality,term_geom_planarity,term_burial_mean,term_burial_min,term_burial_max,term_neighbor_mean,term_neighbor_min,term_neighbor_max,term_total,angles_deg_json,rmsd_to_reference_A,pred_e2e_A,pred_rg_A,ref_e2e_A,ref_rg_A,native_like
11,223.30886159316668,10,42.33151535893068,110.49988082055056,-17.442595245445528,21.174478671973823,0.0,96.62454875608833,-11.005748399447313,-7.095054061129266,-12.366467760641308,0.5883034522867087,0.5883034522867087,0.0,0.0,0.9553535835068483,0.555120940941565,1.0,40.68008130045955,19.429232932954775,64.00079649688071,223.30886159316668,"[-59.99999999999999, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -45.0, -59.99999999999999, 0.0, -59.99999999999999, -59.99999999999999, -59.99999999999999, 0.0, 0.0, -165.0, 119.99999999999999, -59.99999999999999, 0.0, 0.0, 90.0, 59.99999999999999, 180.0, 0.0, 0.0, 0.0, -45.0, 90.0, -90.0, -45.0, 180.0, 0.0, 0.0, 0.0, 90.0, 75.0, 180.0, 0.0, -29.999999999999996, 150.0, 180.0, 0.0, 0.0]",3.0205698654552604,8.409691233066859,4.570129612534206,5.508595556037851,4.848916770784997,False
12,223.35633119807548,10,42.33151535893068,110.49988082055056,-17.442595245445528,21.174478671973823,0.0,96.62454875608833,-11.005748399447313,-7.095054061129266,-12.31899815573251,0.5883034522867087,0.5883034522867087,0.0,0.0,0.9553535835068483,0.555120940941565,1.0,40.68008130045955,19.429232932954775,64.00079649688071,223.35633119807548,"[-59.99999999999999, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -45.0, -59.99999999999999, 0.0, -59.99999999999999, -59.99999999999999, -59.99999999999999, 0.0, 0.0, -165.0, 119.99999999999999, -59.99999999999999, 0.0, 0.0, 90.0, 59.99999999999999, 180.0, 0.0, 0.0, 0.0, -45.0, 90.0, -90.0, -45.0, 180.0, 0.0, 0.0, 0.0, 90.0, 75.0, 180.0, 0.0, -29.999999999999996, 135.0, 180.0, 0.0, 0.0]",3.0205698654552604,8.409691233066859,4.570129612534206,5.508595556037851,4.848916770784997,False
13,223.43934546131146,10,42.33151535893068,110.49988082055056,-17.442595245445528,21.174478671973823,0.0,96.62454875608833,-11.005748399447313,-7.095054061129266,-12.235983892496542,0.5883034522867087,0.5883034522867087,0.0,0.0,0.9553535835068483,0.555120940941565,1.0,40.68008130045955,19.429232932954775,64.00079649688071,223.43934546131146,"[-59.99999999999999, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -45.0, -59.99999999999999, 0.0, -59.99999999999999, -59.99999999999999, -59.99999999999999, 0.0, 0.0, -165.0, 119.99999999999999, -59.99999999999999, 0.0, 0.0, 90.0, 59.99999999999999, 180.0, 0.0, 0.0, 0.0, -45.0, 90.0, -90.0, -45.0, 180.0, 0.0, 0.0, 0.0, 90.0, 75.0, 180.0, 0.0, -29.999999999999996, 119.99999999999999, 180.0, 0.0, 0.0]",3.0205698654552604,8.409691233066859,4.570129612534206,5.508595556037851,4.848916770784997,False
14,223.4857970114866,10,42.33151535893068,110.49988082055056,-17.442595245445528,21.174478671973823,0.0,96.62454875608833,-11.005748399447313,-7.095054061129266,-12.189532342321412,0.5883034522867087,0.5883034522867087,0.0,0.0,0.9553535835068483,0.555120940941565,1.0,40.68008130045955,19.429232932954775,64.00079649688071,223.4857970114866,"[-45.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -45.0, -59.99999999999999, 0.0, -59.99999999999999, -59.99999999999999, -59.99999999999999, 0.0, 0.0, -165.0, 119.99999999999999, -59.99999999999999, 0.0, 0.0, 90.0, 59.99999999999999, 180.0, 0.0, 0.0, 0.0, -45.0, 90.0, -90.0, -45.0, 180.0, 0.0, 0.0, 0.0, 90.0, 75.0, 180.0, 0.0, -29.999999999999996, 150.0, 180.0, 0.0, 0.0]",3.0205698654552604,8.409691233066859,4.570129612534206,5.508595556037851,4.848916770784997,False
15,223.5332666163954,10,42.33151535893068,110.49988082055056,-17.442595245445528,21.174478671973823,0.0,96.62454875608833,-11.005748399447313,-7.095054061129266,-12.142062737412614,0.5883034522867087,0.5883034522867087,0.0,0.0,0.9553535835068483,0.555120940941565,1.0,40.68008130045955,19.429232932954775,64.00079649688071,223.5332666163954,"[-45.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -45.0, -59.99999999999999, 0.0, -59.99999999999999, -59.99999999999999, -59.99999999999999, 0.0, 0.0, -165.0, 119.99999999999999, -59.99999999999999, 0.0, 0.0, 90.0, 59.99999999999999, 180.0, 0.0, 0.0, 0.0, -45.0, 90.0, -90.0, -45.0, 180.0, 0.0, 0.0, 0.0, 90.0, 75.0, 180.0, 0.0, -29.999999999999996, 135.0, 180.0, 0.0, 0.0]",3.0205698654552604,8.409691233066859,4.570129612534206,5.508595556037851,4.848916770784997,False
16,223.55553784868377,10,42.33151535893068,110.49988082055056,-17.442595245445528,21.174478671973823,0.0,96.62454875608833,-11.005748399447313,-7.095054061129266,-12.119791505124226,0.5883034522867087,0.5883034522867087,0.0,0.0,0.9553535835068483,0.555120940941565,1.0,40.68008130045955,19.429232932954775,64.00079649688071,223.55553784868377,"[-59.99999999999999, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -45.0, -59.99999999999999, 0.0, -59.99999999999999, -59.99999999999999, -59.99999999999999, 0.0, 0.0, -165.0, 119.99999999999999, -59.99999999999999, 0.0, 0.0, 90.0, 59.99999999999999, 180.0, 0.0, 0.0, 0.0, -45.0, 90.0, -90.0, -45.0, 180.0, 0.0, 0.0, 0.0, 90.0, 75.0, 180.0, 0.0, -29.999999999999996, 105.00000000000001, 180.0, 0.0, 0.0]",3.0205698654552604,8.409691233066859,4.570129612534206,5.508595556037851,4.848916770784997,False
17,223.61628087963135,10,42.33151535893068,110.49988082055056,-17.442595245445528,21.174478671973823,0.0,96.62454875608833,-11.005748399447313,-7.095054061129266,-12.059048474176645,0.5883034522867087,0.5883034522867087,0.0,0.0,0.9553535835068483,0.555120940941565,1.0,40.68008130045955,19.429232932954775,64.00079649688071,223.61628087963135,"[-45.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -45.0, -59.99999999999999, 0.0, -59.99999999999999, -59.99999999999999, -59.99999999999999, 0.0, 0.0, -165.0, 119.99999999999999, -59.99999999999999, 0.0, 0.0, 90.0, 59.99999999999999, 180.0, 0.0, 0.0, 0.0, -45.0, 90.0, -90.0, -45.0, 180.0, 0.0, 0.0, 0.0, 90.0, 75.0, 180.0, 0.0, -29.999999999999996, 119.99999999999999, 180.0, 0.0, 0.0]",3.0205698654552604,8.409691233066859,4.570129612534206,5.508595556037851,4.848916770784997,False
18,223.68503710902448,10,42.33151535893068,110.49988082055056,-17.442595245445528,21.174478671973823,0.0,96.62454875608833,-11.005748399447313,-7.095054061129266,-11.990292244783523,0.5883034522867087,0.5883034522867087,0.0,0.0,0.9553535835068483,0.555120940941565,1.0,40.68008130045955,19.429232932954775,64.00079649688071,223.68503710902448,"[-59.99999999999999, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -45.0, -59.99999999999999, 0.0, -59.99999999999999, -59.99999999999999, -59.99999999999999, 0.0, 0.0, -165.0, 119.99999999999999, -59.99999999999999, 0.0, 0.0, 90.0, 59.99999999999999, 180.0, 0.0, 0.0, 0.0, -45.0, 90.0, -90.0, -45.0, 180.0, 0.0, 0.0, 0.0, 90.0, 75.0, 180.0, 0.0, -29.999999999999996, 90.0, 180.0, 0.0, 0.0]",3.0205698654552604,8.409691233066859,4.570129612534206,5.508595556037851,4.848916770784997,False
19,223.73247326700366,10,42.33151535893068,110.49988082055056,-17.442595245445528,21.174478671973823,0.0,96.62454875608833,-11.005748399447313,-7.095054061129266,-11.94285608680433,0.5883034522867087,0.5883034522867087,0.0,0.0,0.9553535835068483,0.555120940941565,1.0,40.68008130045955,19.429232932954775,64.00079649688071,223.73247326700366,"[-45.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -45.0, -59.99999999999999, 0.0, -59.99999999999999, -59.99999999999999, -59.99999999999999, 0.0, 0.0, -165.0, 119.99999999999999, -59.99999999999999, 0.0, 0.0, 90.0, 59.99999999999999, 180.0, 0.0, 0.0, 0.0, -45.0, 90.0, -90.0, -45.0, 180.0, 0.0, 0.0, 0.0, 90.0, 75.0, 180.0, 0.0, -29.999999999999996, 105.00000000000001, 180.0, 0.0, 0.0]",3.0205698654552604,8.409691233066859,4.570129612534206,5.508595556037851,4.848916770784997,False
20,223.86197252734436,10,42.33151535893068,110.49988082055056,-17.442595245445528,21.174478671973823,0.0,96.62454875608833,-11.005748399447313,-7.095054061129266,-11.813356826463627,0.5883034522867087,0.5883034522867087,0.0,0.0,0.9553535835068483,0.555120940941565,1.0,40.68008130045955,19.429232932954775,64.00079649688071,223.86197252734436,"[-45.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -45.0, -59.99999999999999, 0.0, -59.99999999999999, -59.99999999999999, -59.99999999999999, 0.0, 0.0, -165.0, 119.99999999999999, -59.99999999999999, 0.0, 0.0, 90.0, 59.99999999999999, 180.0, 0.0, 0.0, 0.0, -45.0, 90.0, -90.0, -45.0, 180.0, 0.0, 0.0, 0.0, 90.0, 75.0, 180.0, 0.0, -29.999999999999996, 90.0, 180.0, 0.0, 0.0]",3.0205698654552604,8.409691233066859,4.570129612534206,5.508595556037851,4.848916770784997,False
