hbond_scale,sasa_scale,vdw_rep_scale,vdw_attr_scale,n_proteins,mean_best_rmsd,median_best_rmsd,mean_best_energy_rmsd,median_best_energy_rmsd,mean_ranking_gap,median_ranking_gap,mean_native_rebuild,score
0.75,0.8,0.05,0.1,3,3.9021466897261408,4.445673616136651,4.629380917208868,5.104207065848606,0.7272342274827278,0.658533449711955,0.5441009893559545,5.356615144691596
1.0,0.6,0.1,0.15,3,4.067973739558286,4.8531262871186,4.745800838384886,4.8531262871186,0.6778270988266003,0.2632175242091481,0.5441009893559545,5.423627937211487
1.0,0.7,0.05,0.1,3,3.841795860649613,4.445673616136651,4.681972000956707,5.104207065848606,0.8401761403070932,0.6924837680793603,0.5441009893559545,5.522148141263799
0.6,0.8,0.05,0.1,3,4.018848871614601,4.445673616136651,4.775235053182706,5.104207065848606,0.756386181568105,0.658533449711955,0.5441009893559545,5.531621234750811
0.6,0.8,0.1,0.15,3,3.9638798440352154,4.283192313718733,4.75657266727599,5.049120620763196,0.7926928232407752,0.7659283070444625,0.5441009893559545,5.549265490516766
1.0,0.8,0.1,0.1,3,3.9328083035393124,4.4803235027367485,4.757856526982638,5.287697969968925,0.8250482234433258,1.042415942990865,0.5441009893559545,5.582904750425964
1.0,0.8,0.1,0.15,3,3.932084419182921,4.4803235027367485,4.757856526982638,5.287697969968925,0.8257721077997177,1.042415942990865,0.5441009893559545,5.5836286347823565
0.6,0.7,0.1,0.1,3,4.071988699332826,4.447439337966653,4.830030364932821,4.576702465188334,0.7580416655999951,0.9753506664483398,0.5441009893559545,5.588072030532816
0.6,0.7,0.1,0.15,3,4.071988699332826,4.447439337966653,4.830030364932821,4.576702465188334,0.7580416655999951,0.9753506664483398,0.5441009893559545,5.588072030532816
0.6,0.6,0.1,0.15,3,3.798953142756004,4.447439337966653,4.702455805605406,5.049120620763196,0.9035026628494024,0.9720090262967682,0.5441009893559545,5.6059584684548085
0.6,0.8,0.05,0.15,3,3.9199342770041334,4.445673616136651,4.775235053182706,5.104207065848606,0.8553007761785723,0.8243713797948882,0.5441009893559545,5.630535829361278
1.0,0.7,0.1,0.1,3,3.9321561825643028,4.445673616136651,4.818168178226169,5.287697969968925,0.8860119956618665,1.136817679454896,0.5441009893559545,5.7041801738880356
0.6,0.6,0.05,0.1,3,3.9222833174547493,4.445673616136651,4.8320687774276605,5.104207065848606,0.9097854599729115,0.9340052507518832,0.5441009893559545,5.741854237400572
0.75,0.8,0.1,0.1,3,3.8161120143619818,4.445673616136651,4.783326933406047,4.576702465188334,0.9672149190440663,1.1695112031299644,0.5441009893559545,5.750541852450114
0.75,0.8,0.1,0.15,3,3.8161120143619818,4.445673616136651,4.783326933406047,4.576702465188334,0.9672149190440663,1.1695112031299644,0.5441009893559545,5.750541852450114
1.0,0.6,0.05,0.1,3,3.8526937018746366,4.445673616136651,4.823788956870316,5.377874065961522,0.9710952549956796,1.136817679454896,0.5441009893559545,5.794884211865996
0.75,0.7,0.05,0.1,3,3.911380072218899,4.445673616136651,4.868202325910605,5.104207065848606,0.9568222536917061,1.0751156319082673,0.5441009893559545,5.825024579602312
0.75,0.7,0.05,0.15,3,3.9027371287831065,4.445673616136651,4.868202325910605,5.104207065848606,0.9654651971274988,1.1010444622156452,0.5441009893559545,5.833667523038104
0.75,0.8,0.05,0.15,3,3.9021466897261408,4.445673616136651,4.868202325910605,5.104207065848606,0.9660556361844649,1.1028157793865434,0.5441009893559545,5.83425796209507
1.0,0.6,0.05,0.15,3,3.8526937018746366,4.445673616136651,4.857356525473187,5.478576771770137,1.0046628235985513,1.136817679454896,0.5441009893559545,5.862019349071739
1.0,0.7,0.05,0.15,3,3.8454926864248065,4.445673616136651,4.949942576507699,5.478576771770137,1.1044498900828927,1.1846870232613975,0.5441009893559545,6.054392466590592
1.0,0.7,0.1,0.15,3,3.9321561825643028,4.445673616136651,5.029316875831422,5.287697969968925,1.0971606932671187,1.2580007833215552,0.5441009893559545,6.12647756909854
0.75,0.6,0.05,0.1,3,3.922539042288219,4.445673616136651,5.053559313313286,5.6602780280566485,1.131020271025067,1.136817679454896,0.5441009893559545,6.184579584338353
1.0,0.8,0.05,0.1,3,3.6600687779391063,3.90049236800513,4.965724276781472,5.478576771770137,1.305655498842366,1.1695112031299644,0.5441009893559545,6.2713797756238385
0.75,0.6,0.05,0.15,3,3.922539042288219,4.445673616136651,5.146145364347798,5.6602780280566485,1.2236063220595788,1.2146044119199972,0.5441009893559545,6.369751686407376
1.0,0.8,0.05,0.15,3,3.6637656037142996,3.90049236800513,5.058310327815984,5.478576771770137,1.3945447241016848,1.4361788789079206,0.5441009893559545,6.45285505191767
